Invoice Number,Invoice Date,Due Date,Request ID,Customer Name,Customer GSTIN,Order ID,PO Number,Product,Quantity,Subtotal (₹),Adjustments (₹),Taxable Amount (₹),Tax Type,CGST (₹),SGST (₹),IGST (₹),Total Tax (₹),Grand Total (₹),Advance Paid (₹),Balance Due (₹),Payment Terms,Delivery Date,Delivery Challan
INV-2026-01-31-105911,2026-01-31,2026-01-31,INV-REQ-001,Quantum Materials,33AABQM7890P1Z5,ORD-001,PO/QM/2026/0198,Junction Box Cover PC/ABS,75,34800.0,3343.0,38143.0,IGST,0,0,6865.74,6865.74,45008.74,20880.0,24128.74,"30% advance, 70% on delivery",2026-03-17,DC-2026-001
INV-2026-01-31-105915,2026-01-31,2026-03-02,INV-REQ-002,PowerCable Co,08AABPC1234L1Z0,ORD-002,PO/PC/2026/0106,LED Light Fixture Cover PMMA,1000,373000.0,-14838.0,358162.0,IGST,0,0,64469.16,64469.16,422631.16,186500.0,236131.16,Net 30 days,2026-03-08,DC-2026-002
INV-2026-01-31-105920,2026-01-31,2026-02-15,INV-REQ-003,Apex Plastics,24AABAP3456O1Z1,ORD-003,PO/AP/2026/0340,Wire Harness Insulation TPE,150,66000.0,4734.0,70734.0,IGST,0,0,12732.12,12732.12,83466.12,33000.0,50466.12,"50% advance, 25% on delivery, 25% within 15 days",2026-02-23,DC-2026-003
INV-2026-01-31-105923,2026-01-31,2026-03-02,INV-REQ-004,BuildCo,27AABCB9012E1Z3,ORD-004,PO/B/2026/0023,Electronics Housing PP V-0,400,158400.0,-2234.0,156166.0,CGST+SGST,14054.94,14054.94,0,28109.88,184275.88,87120.0,97155.88,"25% advance, 75% within 30 days",2026-03-22,DC-2026-004
INV-2026-01-31-105926,2026-01-31,2026-01-31,INV-REQ-005,SafetyFirst Manufacturing,24AABSF5678M1Z3,ORD-005,PO/SM/2026/0219,Medical Device Housing PC,200,123600.0,3510.0,127110.0,IGST,0,0,22879.8,22879.8,149989.8,55620.0,94369.8,"30% advance, 70% on delivery",2026-03-07,DC-2026-005
INV-2026-01-31-105929,2026-01-31,2026-01-31,INV-REQ-006,Apex Plastics,24AABAP3456O1Z1,ORD-006,PO/AP/2026/0536,Cable Insulation Standard PVC K70,150,57450.0,4671.0,62121.0,IGST,0,0,11181.78,11181.78,73302.78,28725.0,44577.78,"50% advance, balance on delivery",2026-02-14,DC-2026-006
INV-2026-01-31-105933,2026-01-31,2026-03-02,INV-REQ-007,SmartWire Ltd,19AABCS6789K1Z6,ORD-007,PO/SL/2026/0206,Sensor Housing HDPE,300,160500.0,690.0,161190.0,IGST,0,0,29014.2,29014.2,190204.2,72225.0,117979.2,"25% advance, 75% within 30 days",2026-02-24,DC-2026-007
INV-2026-01-31-105936,2026-01-31,2026-03-02,INV-REQ-008,Elite Manufacturing,27AABEM5678R1Z2,ORD-008,PO/EM/2026/0763,Electrical Cable Insulation PVC K67 V-0,750,366000.0,-10450.0,355550.0,CGST+SGST,31999.5,31999.5,0,63999.0,419549.0,146400.0,273149.0,100% advance,2026-03-01,DC-2026-008
INV-2026-01-31-105940,2026-01-31,2026-03-02,INV-REQ-009,Apex Plastics,24AABAP3456O1Z1,ORD-009,PO/AP/2026/0027,Solar Panel Junction Box PP,250,78500.0,-117.0,78383.0,IGST,0,0,14108.94,14108.94,92491.94,43175.0,49316.94,100% advance,2026-03-08,DC-2026-009
INV-2026-01-31-105944,2026-01-31,2026-03-02,INV-REQ-010,Acme Corp,27AABCU9603R1ZX,ORD-010,PO/AC/2026/0606,Electrical Cable Insulation PVC K67 V-0,50,23300.0,3542.0,26842.0,CGST+SGST,2415.78,2415.78,0,4831.56,31673.56,11650.0,20023.56,"25% advance, 75% within 30 days",2026-02-25,DC-2026-010
INV-2026-01-31-105948,2026-01-31,2026-03-02,INV-REQ-011,Global Manufacturing,33AABCG5678D1Z9,ORD-011,PO/GM/2026/0144,Cable Insulation Standard PVC K70,200,61800.0,-80.0,61720.0,IGST,0,0,11109.6,11109.6,72829.6,27810.0,45019.6,"25% advance, 75% within 30 days",2026-02-24,DC-2026-011
INV-2026-01-31-105952,2026-01-31,2026-03-02,INV-REQ-012,Acme Corp,27AABCU9603R1ZX,ORD-012,PO/AC/2026/0522,Cable Insulation Standard PVC K70,200,83000.0,-316.0,82684.0,CGST+SGST,7441.56,7441.56,0,14883.12,97567.12,37350.0,60217.12,"25% advance, 75% within 30 days",2026-03-28,DC-2026-012
INV-2026-01-31-105955,2026-01-31,2026-03-02,INV-REQ-013,NextGen Products,09AABNG1234Q1Z9,ORD-013,PO/NP/2026/0363,Electrical Cable Insulation PVC K67 V-0,750,270000.0,-7084.0,262916.0,IGST,0,0,47324.88,47324.88,310240.88,108000.0,202240.88,100% advance,2026-03-20,DC-2026-013
INV-2026-01-31-105959,2026-01-31,2026-01-31,INV-REQ-014,GreenTech Industries,23AABGT9012N1Z7,ORD-014,PO/GI/2026/0708,Medical Device Housing PC,750,408000.0,-13342.0,394658.0,IGST,0,0,71038.44,71038.44,465696.44,224400.0,241296.44,"50% advance, balance on delivery",2026-02-16,DC-2026-014
INV-2026-01-31-110003,2026-01-31,2026-03-02,INV-REQ-015,ProTech Systems,04AABPT9012S1Z6,ORD-015,PO/PS/2026/0230,Control Panel Enclosure ABS,250,103500.0,1968.0,105468.0,IGST,0,0,18984.24,18984.24,124452.24,51750.0,72702.24,100% advance,2026-03-12,DC-2026-015
INV-2026-01-31-110007,2026-01-31,2026-03-02,INV-REQ-016,Acme Corp,27AABCU9603R1ZX,ORD-016,PO/AC/2026/0945,Electrical Cable Insulation PVC K67 V-0,75,34275.0,1624.0,35899.0,CGST+SGST,3230.91,3230.91,0,6461.82,42360.82,20565.0,21795.82,"25% advance, 75% within 30 days",2026-03-10,DC-2026-016
INV-2026-01-31-110010,2026-01-31,2026-02-15,INV-REQ-017,ProTech Systems,04AABPT9012S1Z6,ORD-017,PO/PS/2026/0717,Electronics Housing PP V-0,150,80550.0,3064.0,83614.0,IGST,0,0,15050.52,15050.52,98664.52,32220.0,66444.52,"50% advance, 25% on delivery, 25% within 15 days",2026-03-22,DC-2026-017
INV-2026-01-31-110014,2026-01-31,2026-01-31,INV-REQ-018,SmartWire Ltd,19AABCS6789K1Z6,ORD-018,PO/SL/2026/0282,Medical Device Housing PC,300,135300.0,-1491.0,133809.0,IGST,0,0,24085.62,24085.62,157894.62,67650.0,90244.62,"30% advance, 70% on delivery",2026-03-03,DC-2026-018
INV-2026-01-31-110018,2026-01-31,2026-03-02,INV-REQ-019,SafetyFirst Manufacturing,24AABSF5678M1Z3,ORD-019,PO/SM/2026/0279,Medical Device Housing PC,500,275000.0,-4542.0,270458.0,IGST,0,0,48682.44,48682.44,319140.44,165000.0,154140.44,Net 30 days,2026-03-05,DC-2026-019
INV-2026-01-31-110021,2026-01-31,2026-01-31,INV-REQ-020,Global Manufacturing,33AABCG5678D1Z9,ORD-020,PO/GM/2026/0074,Industrial Terminal Block PA6,500,308500.0,-3151.0,305349.0,IGST,0,0,54962.82,54962.82,360311.82,154250.0,206061.82,"50% advance, 50% on delivery",2026-02-27,DC-2026-020
INV-2026-01-31-110025,2026-01-31,2026-03-02,INV-REQ-021,Acme Corp,27AABCU9603R1ZX,ORD-021,PO/AC/2026/0422,Wire Harness Insulation TPE,1000,536000.0,-20398.0,515602.0,CGST+SGST,46404.18,46404.18,0,92808.36,608410.36,294800.0,313610.36,100% advance,2026-02-24,DC-2026-021
INV-2026-01-31-110028,2026-01-31,2026-01-31,INV-REQ-022,NextGen Products,09AABNG1234Q1Z9,ORD-022,PO/NP/2026/0012,Control Panel Enclosure ABS,399,188328.0,-2811.0,185517.0,IGST,0,0,33393.06,33393.06,218910.06,75331.0,143579.06,"50% advance, balance on delivery",2026-03-01,DC-2026-022
INV-2026-01-31-110032,2026-01-31,2026-01-31,INV-REQ-023,SmartWire Ltd,19AABCS6789K1Z6,ORD-023,PO/SL/2026/0409,Industrial Terminal Block PA6,300,140100.0,-1163.0,138937.0,IGST,0,0,25008.66,25008.66,163945.66,70050.0,93895.66,"30% advance, 70% on delivery",2026-02-15,DC-2026-023
INV-2026-01-31-110036,2026-01-31,2026-01-31,INV-REQ-024,FastTrack Ltd,07AABCF3456F1Z7,ORD-024,PO/FL/2026/0764,LED Light Fixture Cover PMMA,150,55950.0,3071.0,59021.0,IGST,0,0,10623.78,10623.78,69644.78,30772.0,38872.78,"50% advance, balance on delivery",2026-03-10,DC-2026-024
INV-2026-01-31-110039,2026-01-31,2026-03-02,INV-REQ-025,GreenTech Industries,23AABGT9012N1Z7,ORD-025,PO/GI/2026/0530,Flexible Cable Jacket V-1,250,119250.0,2530.0,121780.0,IGST,0,0,21920.4,21920.4,143700.4,59625.0,84075.4,"25% advance, 75% within 30 days",2026-03-19,DC-2026-025
INV-2026-01-31-110043,2026-01-31,2026-01-31,INV-REQ-026,Precision Electronics,09AABCP7890G1Z1,ORD-026,PO/PE/2026/0628,Power Cable Jacket PVC FR,43,16598.0,4294.0,20892.0,IGST,0,0,3760.56,3760.56,24652.56,6639.0,18013.56,"30% advance, 70% on delivery",2026-02-28,DC-2026-026
INV-2026-01-31-110046,2026-01-31,2026-01-31,INV-REQ-027,PowerCable Co,08AABPC1234L1Z0,ORD-027,PO/PC/2026/0379,Sensor Housing HDPE,1000,464000.0,-8626.0,455374.0,IGST,0,0,81967.32,81967.32,537341.32,208800.0,328541.32,"50% advance, 50% on delivery",2026-02-25,DC-2026-027
INV-2026-01-31-110050,2026-01-31,2026-01-31,INV-REQ-028,Quantum Materials,33AABQM7890P1Z5,ORD-028,PO/QM/2026/0027,Solar Panel Junction Box PP,250,107000.0,-745.0,106255.0,IGST,0,0,19125.9,19125.9,125380.9,64200.0,61180.9,"50% advance, 50% on delivery",2026-02-20,DC-2026-028
INV-2026-01-31-110053,2026-01-31,2026-03-02,INV-REQ-029,BuildCo,27AABCB9012E1Z3,ORD-029,PO/B/2026/0995,Flame Retardant Conduit V-0,1000,488000.0,-13810.0,474190.0,CGST+SGST,42677.1,42677.1,0,85354.2,559544.2,195200.0,364344.2,Net 30 days,2026-02-17,DC-2026-029
INV-2026-01-31-110057,2026-01-31,2026-03-02,INV-REQ-030,SmartWire Ltd,19AABCS6789K1Z6,ORD-030,PO/SL/2026/0480,Electronics Housing PP V-0,750,281250.0,-8409.0,272841.0,IGST,0,0,49111.38,49111.38,321952.38,126562.0,195390.38,100% advance,2026-02-22,DC-2026-030
INV-2026-01-31-110100,2026-01-31,2026-01-31,INV-REQ-031,Universal Components,37AABUC3456T1Z0,ORD-031,PO/UC/2026/0099,Sensor Housing HDPE,400,212000.0,649.0,212649.0,IGST,0,0,38276.82,38276.82,250925.82,84800.0,166125.82,"50% advance, 50% on delivery",2026-03-25,DC-2026-031
INV-2026-01-31-110104,2026-01-31,2026-01-31,INV-REQ-032,Global Manufacturing,33AABCG5678D1Z9,ORD-032,PO/GM/2026/0521,Medical Device Housing PC,400,134400.0,961.0,135361.0,IGST,0,0,24364.98,24364.98,159725.98,73920.0,85805.98,"50% advance, 50% on delivery",2026-02-26,DC-2026-032
INV-2026-01-31-110108,2026-01-31,2026-03-02,INV-REQ-033,Global Manufacturing,33AABCG5678D1Z9,ORD-033,PO/GM/2026/0619,LED Light Fixture Cover PMMA,150,79500.0,3662.0,83162.0,IGST,0,0,14969.16,14969.16,98131.16,47700.0,50431.16,"25% advance, 75% within 30 days",2026-03-23,DC-2026-033
INV-2026-01-31-110111,2026-01-31,2026-01-31,INV-REQ-034,ProTech Systems,04AABPT9012S1Z6,ORD-034,PO/PS/2026/0893,Flame Retardant Conduit V-0,75,33075.0,2809.0,35884.0,IGST,0,0,6459.12,6459.12,42343.12,14883.0,27460.12,"30% advance, 70% on delivery",2026-03-05,DC-2026-034
INV-2026-01-31-110115,2026-01-31,2026-03-02,INV-REQ-035,ElectroTech Solutions,36AABCE2345J1Z2,ORD-035,PO/ES/2026/0810,Power Cable Jacket PVC FR,1000,297000.0,-8249.0,288751.0,IGST,0,0,51975.18,51975.18,340726.18,118800.0,221926.18,Net 30 days,2026-03-05,DC-2026-035
INV-2026-01-31-110118,2026-01-31,2026-01-31,INV-REQ-036,Innovation Corp,21AABIC7890U1Z4,ORD-036,PO/IC/2026/0607,Cable Insulation Standard PVC K70,50,16550.0,1372.0,17922.0,IGST,0,0,3225.96,3225.96,21147.96,8275.0,12872.96,"50% advance, 50% on delivery",2026-03-22,DC-2026-036
INV-2026-01-31-110122,2026-01-31,2026-03-02,INV-REQ-037,IndustrialMax,24AABCI4567H1Z4,ORD-037,PO/I/2026/0869,Control Panel Enclosure ABS,50,25150.0,2739.0,27889.0,IGST,0,0,5020.02,5020.02,32909.02,11317.0,21592.02,"25% advance, 75% within 30 days",2026-02-24,DC-2026-037
INV-2026-01-31-110126,2026-01-31,2026-03-02,INV-REQ-038,FastTrack Ltd,07AABCF3456F1Z7,ORD-038,PO/FL/2026/0177,Control Panel Enclosure ABS,100,49300.0,4572.0,53872.0,IGST,0,0,9696.96,9696.96,63568.96,24650.0,38918.96,Net 30 days,2026-03-03,DC-2026-038
INV-2026-01-31-110129,2026-01-31,2026-01-31,INV-REQ-039,NextGen Products,09AABNG1234Q1Z9,ORD-039,PO/NP/2026/0451,Electronics Housing PP V-0,750,381750.0,-8497.0,373253.0,IGST,0,0,67185.54,67185.54,440438.54,209962.0,230476.54,"50% advance, balance on delivery",2026-03-17,DC-2026-039
INV-2026-01-31-110133,2026-01-31,2026-01-31,INV-REQ-040,Innovation Corp,21AABIC7890U1Z4,ORD-040,PO/IC/2026/0736,LED Light Fixture Cover PMMA,700,291200.0,-9246.0,281954.0,IGST,0,0,50751.72,50751.72,332705.72,160160.0,172545.72,"50% advance, balance on delivery",2026-03-17,DC-2026-040
INV-2026-01-31-110137,2026-01-31,2026-01-31,INV-REQ-041,ElectroTech Solutions,36AABCE2345J1Z2,ORD-041,PO/ES/2026/0739,Electrical Cable Insulation PVC K67 V-0,500,173000.0,-3408.0,169592.0,IGST,0,0,30526.56,30526.56,200118.56,86500.0,113618.56,"30% advance, 70% on delivery",2026-03-28,DC-2026-041
INV-2026-01-31-110140,2026-01-31,2026-01-31,INV-REQ-042,IndustrialMax,24AABCI4567H1Z4,ORD-042,PO/I/2026/0032,Medical Device Housing PC,100,49600.0,2045.0,51645.0,IGST,0,0,9296.1,9296.1,60941.1,19840.0,41101.1,"30% advance, 70% on delivery",2026-02-23,DC-2026-042
INV-2026-01-31-110144,2026-01-31,2026-03-02,INV-REQ-043,ProTech Systems,04AABPT9012S1Z6,ORD-043,PO/PS/2026/0561,Medical Device Housing PC,1000,473000.0,-11842.0,461158.0,IGST,0,0,83008.44,83008.44,544166.44,283800.0,260366.44,100% advance,2026-02-25,DC-2026-043
INV-2026-01-31-110147,2026-01-31,2026-01-31,INV-REQ-044,SmartWire Ltd,19AABCS6789K1Z6,ORD-044,PO/SL/2026/0318,LED Light Fixture Cover PMMA,300,133200.0,1050.0,134250.0,IGST,0,0,24165.0,24165.0,158415.0,59940.0,98475.0,"30% advance, 70% on delivery",2026-03-12,DC-2026-044
INV-2026-01-31-110151,2026-01-31,2026-03-02,INV-REQ-045,BuildCo,27AABCB9012E1Z3,ORD-045,PO/B/2026/0990,Wire Harness Insulation TPE,200,96800.0,329.0,97129.0,CGST+SGST,8741.61,8741.61,0,17483.22,114612.22,48400.0,66212.22,100% advance,2026-03-08,DC-2026-045
INV-2026-01-31-110154,2026-01-31,2026-02-15,INV-REQ-046,GreenTech Industries,23AABGT9012N1Z7,ORD-046,PO/GI/2026/0637,Sensor Housing HDPE,50,23800.0,2225.0,26025.0,IGST,0,0,4684.5,4684.5,30709.5,10710.0,19999.5,"50% advance, 25% on delivery, 25% within 15 days",2026-03-24,DC-2026-046
INV-2026-01-31-110157,2026-01-31,2026-01-31,INV-REQ-047,TechStart Inc,29AABCT1234C1Z5,ORD-047,PO/TI/2026/0191,Control Panel Enclosure ABS,500,159500.0,-4132.0,155368.0,IGST,0,0,27966.24,27966.24,183334.24,87725.0,95609.24,"50% advance, balance on delivery",2026-02-21,DC-2026-047
INV-2026-01-31-110201,2026-01-31,2026-03-02,INV-REQ-048,Innovation Corp,21AABIC7890U1Z4,ORD-048,PO/IC/2026/0940,Control Panel Enclosure ABS,73,41610.0,1249.0,42859.0,IGST,0,0,7714.62,7714.62,50573.62,22885.0,27688.62,"25% advance, 75% within 30 days",2026-03-23,DC-2026-048
INV-2026-01-31-110204,2026-01-31,2026-03-02,INV-REQ-049,Global Manufacturing,33AABCG5678D1Z9,ORD-049,PO/GM/2026/0433,Flame Retardant Conduit V-0,100,45400.0,4189.0,49589.0,IGST,0,0,8926.02,8926.02,58515.02,27240.0,31275.02,Net 30 days,2026-03-20,DC-2026-049
INV-2026-01-31-110208,2026-01-31,2026-03-02,INV-REQ-050,Apex Plastics,24AABAP3456O1Z1,ORD-050,PO/AP/2026/0733,Flame Retardant Conduit V-0,750,406500.0,-16215.0,390285.0,IGST,0,0,70251.3,70251.3,460536.3,162600.0,297936.3,"25% advance, 75% within 30 days",2026-03-19,DC-2026-050