Quote ID,Request ID,Customer,Product,Quantity,Material Cost (₹),Production Cost (₹),Quality Cost (₹),Risk Premium (₹),Subtotal (₹),Profit Margin %,Profit Amount (₹),Total Before Tax (₹),GST (₹),Grand Total (₹),Unit Price (₹),Lead Time (days),Valid Until,Payment Terms
QT_20260131_111702,QR001,PowerCable Co,widget_e,300,16783.2,26208.0,1000,6448.68,50439.88,35.0,17653.96,98593.84,17746.89,116340.73,387.8,9,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111706,QR002,Apex Plastics,widget_a,100,11699.64,8904.0,1000,0,21603.64,25.0,5400.91,37504.55,6750.82,44255.37,442.55,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111710,QR003,FastTrack Ltd,widget_c,200,14705.28,15092.0,1500,1489.86,32787.14,25.0,8196.78,71483.92,12867.11,84351.03,421.76,8,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111713,QR004,Universal Components,widget_d,750,85050.0,53004.0,1500,34513.5,174067.5,40.0,69627.0,319194.5,57455.01,376649.51,502.2,12,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111717,QR005,SmartWire Ltd,widget_d,200,6633.36,10164.0,1000,1679.74,19477.1,25.0,4869.28,44846.38,8072.35,52918.73,264.59,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111720,QR006,Universal Components,widget_d,1000,82231.2,71512.0,1500,30748.64,185991.84,35.0,65097.14,351588.98,63286.02,414875.0,414.87,15,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111724,QR007,Apex Plastics,widget_c,150,18098.64,8400.0,1000,0,27498.64,25.0,6874.66,57373.3,10327.19,67700.49,451.34,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111727,QR008,ProTech Systems,widget_a,200,15759.36,12040.0,1500,0,29299.36,25.0,7324.84,57624.2,10372.36,67996.56,339.98,8,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111731,QR009,NextGen Products,widget_c,300,14009.76,15660.0,1000,4450.46,35120.22,35.0,12292.08,92912.3,16724.21,109636.51,365.46,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111734,QR010,Acme Corp,widget_d,25,1635.93,3150.0,1000,0,5785.93,25.0,1446.48,10232.41,1841.83,12074.24,482.97,6,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111738,QR011,ProTech Systems,widget_c,200,10670.4,19440.0,1000,3011.04,34121.44,25.0,8530.36,73151.8,13167.32,86319.12,431.6,8,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111742,QR012,SafetyFirst Manufacturing,widget_e,750,35356.5,38400.0,1200,18439.12,93395.62,35.0,32688.47,201584.09,36285.14,237869.23,317.16,10,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111745,QR013,Elite Manufacturing,widget_a,750,67132.8,35190.0,1200,10232.28,113755.08,25.0,28438.77,217693.85,39184.89,256878.74,342.5,11,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111749,QR014,ProTech Systems,widget_b,150,6966.0,9440.0,1500,1640.6,19546.6,25.0,4886.65,42933.25,7727.98,50661.24,337.74,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111752,QR015,Universal Components,widget_b,250,23935.5,25536.0,9200,12367.88,71039.38,35.0,24863.78,127903.16,23022.57,150925.73,603.7,8,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111757,QR016,Global Manufacturing,widget_a,50,8776.08,5096.0,9500,0,23372.08,25.0,5843.02,34715.1,6248.72,40963.82,819.28,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111800,QR017,Elite Manufacturing,widget_a,200,7948.8,11788.0,4200,2960.52,26897.32,35.0,9414.06,58311.38,10496.05,68807.43,344.04,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111804,QR018,PowerCable Co,widget_c,100,7197.12,14112.0,1000,4261.82,26570.94,35.0,9299.83,51370.77,9246.74,60617.51,606.18,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111807,QR019,PowerCable Co,widget_d,75,9141.66,7098.0,1000,0,17239.66,25.0,4309.91,29549.57,5318.92,34868.49,464.91,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111810,QR020,FastTrack Ltd,widget_b,50,3036.96,4950.0,1000,1198.04,10185.0,35.0,3564.75,20249.75,3644.95,23894.71,477.89,6,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111814,QR021,PowerCable Co,widget_d,100,8353.8,9324.0,1000,0,18677.8,25.0,4669.45,33847.25,6092.51,39939.75,399.4,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111817,QR022,Apex Plastics,widget_d,25,801.9,3576.0,1000,1094.47,6472.37,40.0,2588.95,12061.32,2171.04,14232.36,569.29,4,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111821,QR023,Universal Components,widget_a,25,1705.86,3098.67,1500,480.45,6784.98,25.0,1696.24,11481.22,2066.62,13547.84,541.91,6,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111824,QR024,BuildCo,widget_c,500,33210.0,21504.0,1000,5471.4,61185.4,25.0,15296.35,151981.75,27356.72,179338.46,358.68,9,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111828,QR025,TechStart Inc,widget_b,25,926.1,2912.0,1000,191.91,5030.01,25.0,1257.5,9787.51,1761.75,11549.26,461.97,6,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111831,QR026,Quantum Materials,widget_a,1000,46202.4,84504.0,1000,26141.28,157847.68,35.0,55246.69,313594.37,56446.99,370041.36,370.04,18,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111835,QR027,Innovation Corp,widget_a,150,11056.5,11676.0,9500,0,32232.5,25.0,8058.12,55790.62,10042.31,65832.93,438.89,8,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111839,QR028,SmartWire Ltd,widget_a,750,50544.0,79926.0,9000,19570.5,159040.5,35.0,55664.17,291704.67,52506.84,344211.51,458.95,17,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111842,QR029,ProTech Systems,widget_b,750,72576.0,39300.0,9500,11187.6,132563.6,25.0,33140.9,257704.5,46386.81,304091.31,405.46,11,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111845,QR030,Apex Plastics,widget_a,75,4735.26,4464.0,1000,2299.82,12499.08,40.0,4999.63,25498.71,4589.77,30088.48,401.18,4,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111848,QR031,Elite Manufacturing,widget_d,50,3918.78,3552.0,9000,1494.16,17964.94,35.0,6287.73,29752.67,5355.48,35108.15,702.16,5,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111852,QR032,Apex Plastics,widget_a,50,2120.58,4004.0,1000,306.23,7430.81,25.0,1857.7,14788.51,2661.93,17450.44,349.01,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111856,QR033,BuildCo,widget_b,50,1695.06,4704.0,1000,2239.67,9638.73,40.0,3855.49,19994.22,3598.96,23593.18,471.86,5,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111900,QR034,FastTrack Ltd,widget_d,300,14774.4,18208.0,1500,0,34482.4,25.0,8620.6,73603.0,13248.54,86851.54,289.51,8,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111903,QR035,SmartWire Ltd,widget_d,25,1392.93,5062.5,9200,1613.86,17269.29,40.0,6907.72,27177.01,4891.86,32068.87,1282.75,4,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111907,QR036,Elite Manufacturing,widget_c,100,8647.56,10016.0,1000,933.18,20596.74,25.0,5149.18,41245.92,7424.27,48670.19,486.7,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111910,QR037,Innovation Corp,widget_a,50,3931.2,5796.0,1000,2918.16,13645.36,40.0,5458.14,24603.5,4428.63,29032.13,580.64,5,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111913,QR038,SmartWire Ltd,widget_a,50,2449.44,3276.0,1500,0,7225.44,25.0,1806.36,14531.8,2615.72,17147.52,342.95,6,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111916,QR039,Quantum Materials,widget_e,500,18921.6,26440.0,4000,0,49361.6,25.0,12340.4,113702.0,20466.36,134168.36,268.34,9,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111920,QR040,Precision Electronics,widget_e,750,52488.0,79926.0,1200,0,133614.0,25.0,33403.5,242517.5,43653.15,286170.65,381.56,18,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111923,QR041,NextGen Products,widget_e,75,8048.16,6678.0,1000,0,15726.16,25.0,3931.54,27657.7,4978.39,32636.09,435.15,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111927,QR042,Global Manufacturing,widget_e,50,4524.66,3444.0,1500,1593.73,11062.39,35.0,3871.84,20434.23,3678.16,24112.39,482.25,5,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111930,QR043,PowerCable Co,widget_a,75,4811.4,4872.0,1000,1936.68,12620.08,35.0,4417.03,25537.11,4596.68,30133.79,401.78,6,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111934,QR044,Elite Manufacturing,widget_d,750,58174.2,43176.0,1200,25337.55,127887.75,35.0,44760.71,248148.46,44666.72,292815.18,390.42,11,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111937,QR045,ProTech Systems,widget_e,200,15085.44,10530.0,1500,2561.54,29676.98,25.0,7419.25,57596.23,10367.32,67963.55,339.82,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111941,QR046,NextGen Products,widget_a,150,9331.2,14364.0,1000,2369.52,27064.72,25.0,6766.18,49330.9,8879.56,58210.46,388.07,8,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111944,QR047,SafetyFirst Manufacturing,widget_d,1000,109468.8,106596.0,9200,43212.96,268477.76,35.0,93967.22,462944.98,83330.1,546275.08,546.28,21,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111948,QR048,SafetyFirst Manufacturing,widget_b,200,4561.92,22092.0,1000,3998.09,31652.01,35.0,11078.2,67230.21,12101.44,79331.65,396.66,8,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111951,QR049,NextGen Products,widget_d,75,3163.86,4676.0,1000,0,8839.86,25.0,2209.97,19049.83,3428.97,22478.8,299.72,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111955,QR050,TechStart Inc,widget_e,75,6153.57,6846.0,1200,3249.89,17449.46,40.0,6979.78,32429.24,5837.26,38266.5,510.22,5,2026-03-02,"50% advance, 50% on delivery"