Request ID,Application,Standards,Cost Target (â‚¹/kg),Constraints,Special Notes,Tensile Min (MPa),Chemical Resistance
RND001,charger_housing,UL94 HB,55,"rohs,reach,non_toxic",High temperature application,54,"fuels,oils"
RND002,electrical_cable_insulation,UL94 HB,77,"reach,non_toxic",Fast cure time needed,26,"oil,water"
RND003,electronics_housing,UL94 V-2,119,"reach,non_toxic",Fast cure time needed,55,"chemicals,solvents"
RND004,industrial_plug,UL94 V-1,61,"rohs,reach,halogen_free",Recyclable material preferred,31,organic_solvents
RND005,switch_cover,UL94 V-0,74,"rohs,non_toxic",High abrasion resistance,50,"solvents,oils"
RND006,resistor_coating,ASTM D2863,82,"rohs,reach",Medical device compatible,53,"water,mild_acids"
RND007,inverter_housing,UL94 V-1,75,"rohs,reach,non_toxic,low_voc",Halogen-free preferred,32,"solvents,oils"
RND008,adapter_case,UL94 V-2,91,"rohs,reach,halogen_free",Color stability important,33,"solvents,oils"
RND009,automotive_wire_harness,ASTM D2863,99,rohs,Halogen-free preferred,52,"water,mild_acids"
RND010,extension_cord_jacket,UL94 V-2,88,"rohs,reach,non_toxic,low_voc",High abrasion resistance,47,"water,mild_acids"
RND011,flexible_cable_jacket,IEC 60332,56,"rohs,reach",Excellent dielectric strength,55,"acids,oils,water"
RND012,wire_coating,UL94 HB,82,"reach,non_toxic",Low cost priority,38,"fuels,oils"
RND013,capacitor_case,ASTM D2863,105,reach,Low smoke emission,32,"water,mild_acids"
RND014,circuit_breaker_housing,ASTM D2863,64,"rohs,reach",Automotive grade required,52,organic_solvents
RND015,connector_housing,UL94 V-2,58,"rohs,reach,halogen_free",High abrasion resistance,53,"solvents,oils"
RND016,resistor_coating,UL94 V-2,116,reach,Anti-static properties,53,"water,mild_acids"
RND017,motor_terminal_box,UL94 V-2,113,reach,Fast cure time needed,49,"water,mild_acids"
RND018,industrial_plug,UL94 V-0,97,"rohs,reach,non_toxic,low_voc",Weather resistant coating,26,"acids,bases"
RND019,electrical_cable_insulation,UL94 V-0,84,reach,Recyclable material preferred,35,"acids,bases"
RND020,battery_casing,IEC 60332,120,"rohs,reach,halogen_free",Medical device compatible,38,"chemicals,solvents"
RND021,fuse_holder,UL94 V-0,113,"reach,non_toxic",High temperature application,40,"alcohol,water"
RND022,control_cable_jacket,ASTM D2863,77,"reach,non_toxic",Halogen-free preferred,32,"oil,water"
RND023,led_housing,UL94 V-0,108,"rohs,reach,non_toxic",Long-term durability focus,41,"petroleum,solvents"
RND024,terminal_block,ASTM D2863,114,"rohs,reach,non_toxic,low_voc",Weather resistant coating,41,"oils,greases"
RND025,relay_enclosure,IEC 60332,57,"rohs,reach",Fast cure time needed,52,"solvents,oils"
RND026,motor_terminal_box,IEC 60332,89,rohs,High flexibility needed,38,water
RND027,power_cable_sheath,IEC 60332,86,"rohs,reach",High flexibility needed,43,"water,detergents"
RND028,terminal_block,UL94 V-2,92,"rohs,non_toxic",Chemical compatibility critical,34,"oils,water,mild_chemicals"
RND029,electrical_cable_insulation,UL94 V-0,57,"rohs,reach,non_toxic",Long-term durability focus,36,"water,mild_acids"